Document,Cluster
newsgroups labstalkneforsalemiscforsale path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomnewsansnetnewsgatewatsonibmcomyktnewswatsonibmcomwatsonacheronphilabshsb hsbphilabsphilipscom hemant betrabet subject moving sale messageid aprphilabsphilipscom sender newsphilabsphilipscom mr c news organization philip laboratory briarcliff manor ny distribution ny date wed apr gmt line sale dining table wooden chair dining table scandinavian style steel desk free interested please call hemant betrabet,0
newsgroups miscforsale path cantaloupesrvcscmuedurochesterudelgatechemoryrsiatlaboyko aboykodixiecom andrew boyko subject sega genesis sale wsonic messageid kmfvmdixiecom date thu apr gmt organization dixie communication public access mouth south line month old sega genesis barely used one controller original box sonics get whole bundle shipped turn theyre addictive theyre anyway mail youre interested marvel modern technology andrew boyko aboykodixiecom,8
newsgroups pdxforsaleorforsalemiscforsalepnwforsale path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetnocnearnetuunetwellwellsfcausecsd ecsdwellsfcaus eric c dynamic subject kawai k way el cheapo buy sorry etc etc messageid ecsdwellsfcaus sender newswellsfcaus nntppostinghost wellsfcaus organization whole earth lectronic link sausalito ca distribution ba date thu apr gmt line gotta pay well bill eating mere passing interest comparison kawai k synthesizer act cash pleeze take delivery berkeley call leave name number call back arrange marvelous feast offer expires soon soon soon believe act thank support wheeze,9
xref cantaloupesrvcscmuedu miscforsale miscforsalecomputersother miscforsalecomputerspcclone path cantaloupesrvcscmuedurochesterudelgatechhowlandrestonansnetnocnearnetbigbootewpiedubigwpiwpieduminh minhbigwpiwpiedu minh anh pham newsgroups wpiforsaleneforsaleusforsalecomputersusforsalemiscmiscforsalemiscforsalecomputersothermiscforsalecomputerspcclone subject sipps memory forsale date apr gmt organization worcester polytechnic institute line messageid qkbibnbigbootewpiedu nntppostinghost bigwpiwpiedu sipps sale sipps sale upgraded system memory dont need x sipps n x sipps n meg total meg note sipps gernally expensive simms sipps good working condition buyer pay shippinghandling interested reply minhwpiwpiedu minh pham email minhwpiwpiedu worcester polytechnical institute,3
path cantaloupesrvcscmuedudasnewsharvardedunocnearnetuuneteuropaenggtefsdcomhowlandrestonansnetzaphodmpsohiostateeduswrindenetworkucsdedunewsserviceuciedubalboaenguciedualai alaibalboaenguciedu anthony lai subject sale software package pcanywhere antivirus deltagraph nntppostinghost balboaenguciedu messageid bcdecnewsserviceuciedu newsgroups miscforsale organization university california irvine line date apr gmt hello three software package sale norton pcanywhere version do software include host remote software control do window standard enhanced mode activity registration card enclosed price norton antivirus window do version update virus information time also support network registration card enclosed price deltagraph professional window best graphic presentation program ever seen registration card enclosed reg price price thank attention anthony lai,8
"newsgroups miscforsale path cantaloupesrvcscmuedurochesterudelbogussuranethowlandrestonansnetusenetinscwruedumagnusacsohiostateeducychong cychongmagnusacsohiostateedu robert chong subject book sale cheap messageid aprmagnusacsohiostateedu sender newsmagnusacsohiostateedu nntppostinghost topmagnusacsohiostateedu organization ohio state university date thu apr gmt line hi everyone book sale price negotiable shipping fee included signal system alexander p poularik samuel seely pwskent publisher old price new price probability introduction samuel goldberg dover publisher old price new price digital image processing computer vision r schalkoff wiley publisher old price new price digital image processing r gonzalz p wintz addison wesley publisher old price new price sold x window system user guide xr oreilly associate best book msdos alan simpson sam old price new price element modern algebra hu holden day publisher old price new price symmetry asymmetry world particle td lee washington publisher old price new price !!!! 9. elementary particle law physic - 1986 dirac memorial lectures, cambridge publisher, old price: $8 new price: $6.00!!!! 10. brief history time, stephen w. hawking bantam book (paperback), old price: $8 new price: $4.00!!!! -- robert chong department mechanical engineering ohio state university email: cychong@magnus.acs.ohio-state.edu",0
xref cantaloupesrvcscmuedu miscwanted miscforsale newsgroups chiwantedmiscwantedchigeneralmiscforsale path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetwupostuwmedulinacuchinewsiitmaxthssgkg thssgkgiitmaxiitedu gulshan k garg subject fax modem card wanted messageid apriitmaxiitedu keywords fax modem card organization illinois institute technology academic computing center distribution chi date thu apr gmt line looking inexpensive fax modem card pc one sell please email gulshan garg thssgkgiitmaxiitedu h,4
"xref cantaloupesrvcscmuedu compsysb miscforsale path cantaloupesrvcscmuedudasnewsharvardedunocnearnethowlandrestonansnetagatedogeelblgovnetworkucsdedupacbellcompacbellnntpcrlcomnotformail bobnntpcrlcom bob ames newsgroups compsysbmiscforsalebamarketcomputers subject unix pc software sale date apr organization crl internet dialup access unix login guest line distribution world messageid qvsknhcrlcrlcom nntppostinghost crlcom greeting list item b selling dbase iii full dbase iii multiuser developmentruntime b microsoft basic interpreter give megabyte ram available microsoft word full featured mousebased multiuser wordprocessor microsoft multiplan nice multiuser spreadsheet program gsschart nice graphical program creating business chart lpic robust c compiler ill throw lpidebugsinglestepalter var att electronic mail nice officebased front end mail ill take best offer whole bunch bought new paid excellent program id rather sell together dont hesitate make offer one id consider possible trade im interested following b hardware ethernet card without software tape backup external expansion unit upgraded p motherboard info p upgrade icu nd hard drive upgrade kit att bct terminal unixpcstyle keyboard make offer bob ames bobcrlcom p get unix pc drive motherboards loaded cnews smail trn rn elm nethack gzip hdb couple thing plus shipping let know youre interested pps priam 0m hard drive (exactly maxtor 2190, faster) sale $280 thru vendor la (number handy, write info) good price drives, largest, fastest hds available unix pc. (note, fully use entire 150m, need p5.1 motherboard upgrade [who these?], wd2010)",3
"xref cantaloupesrvcscmuedu miscinvest miscforsale newsgroups miscinvestmiscforsale path cantaloupesrvcscmuedudasnewsharvardedunocnearnethowlandrestonansnetwupostdarwinsuranethavenumdedudecuacpadeccomnntpdcxodeccomkranzrosen rosenkranzenetdeccom jim rosenkranz subject metal powdersteeliron messageid aprnntpdcxodeccom sender rosenkranz jim rosenkranz replyto rosenkranzenetdeccom jim rosenkranz organization digital equipment corp reference acpdgohawacommedmsksu cupportalcom date thu apr gmt line article cupportalcom mmmcupportalcom mark robert thorson writes xref nntpdcxodeccom miscinvest miscforsale path nntpdcxodeccompadeccomebigmkodeccomuvodeccomnewscrldeccomdeccrlcaenzaphodmpsohiostateedusddhpcomportalcupportalcommmm mmmcupportalcom mark robert thorson newsgroups miscinvestmiscforsale subject metal powdersteeliron messageid cupportalcom date: thu, 15 apr 93 08:53:51 pdt |>organization: portal system (tm) |>references: <acpdgohawa@commed.msk.su> |>lines: 4 |> |>i love post ex-soviet union. among cars, dinette |>sets, video cameras, etc. every ad pop bee venom, |>red oxide mercury, cobalt (100 ton minimum order), etc. |>have garage sale russia? :-) |> really strike funny. rather indicative crisis economy in. imagine desparate need market sustain industry people nolonger central control government. -- jim rosenkranz rosen@kranz.enet.dec.com ""never try teach pig sing: can't done, annoys pig.""",9
newsgroups miscforsalenyforsalenjforsaleneforsale path cantaloupesrvcscmuedurochesterudelbogussuranethowlandrestonansnetzaphodmpsohiostateedusolctrcolumbiaedunewscolumbiaeducunixbcccolumbiaedugld gldcunixbcccolumbiaedu gary l dare subject soft contact lens cleaning unit heater messageid aprnewscolumbiaedu summary barneshind timer heating unit boiling soft lens sender usenetnewscolumbiaedu network news nntppostinghost cunixbcccolumbiaedu replyto gldcunixbcccolumbiaedu gary l dare organization phd hall distribution na date thu apr gmt line girlfriend switched gaspermeable hard lens longer need one year old soft contact lens cleaning unit one pop lens case filled solution lens press lighted timer button let cook stain course youve owned one understand maybe little dust cover best cash offer equivalent worth used cd betamax tape blank couple prerecorded moviesconcerts gld je souviens gary l dare gldcolumbiaedu go winnipeg jet go gldcunixcbitnet selanne domi stanley,5
xref cantaloupesrvcscmuedu recaudio miscforsale path cantaloupesrvcscmuedudasnewsharvardedunocnearnethowlandrestonansnetuscphaktuscedunotformail hungjencphaktuscedu hungjen chen newsgroups recaudiomiscforsale subject forsale dynakit pasx tube preamp date apr organization university southern california los angeles ca line sender nntpphaktuscedu messageid qktinnjdphaktuscedu nntppostinghost phaktuscedu dynakit pasx sale pure tube preamp using two ax phono stage also two ax line stage one x used power supply clean neat workmanship work fine good sound owner manuel asking obo plus shipping contact harry interested thanx,5
"path cantaloupesrvcscmuedudasnewsharvardeduogicseuwmeduzaphodmpsohiostateedudarwinsuranetsgiblabtsofttedm tedmtsoftnet ted matsumura newsgroups bamarketcomputersbamarketmiscbaforsalemiscforsale subject catalog hardtofind pc enhancement repost messageid cjccgbntsoftnet date apr gmt articleid tsoftcjccgbn reference jntphyaprrsgsfcnasagov aprcsdnewshoststanfordedu aprtimesauxapplecom distribution usa organization tsoft bb public access unix line stuff deleted example subscribe magazine abc news xyz product give name joseph x cool first joe q cool nd get junk mail addressed joseph x cool know bought name doesnt help getting junk mail least know who selling name ask company sell name mailing liststelemarketeers supposed illegal case havent guessed dont really use joe cool company maintains mailing list regularly rented one time use major software company method using seed junk mail isnt really effective bulk mailer regulary either send database cleaned ncoa youve moved recently revert back original xxx cool large mailing likely dupe theyll pick first use others future mailing btw list currently one hottest list actual buyer m window utility product range available direct medium ct per name. please let direct mail marketing rep. know this.. thanks. ted > > --- matthew caprile || hey, speak ! even --- > --- || admit opinion expressed --- > --- caprile@apple.com || here, expect employer to. ---",6
newsgroups miscforsale path cantaloupesrvcscmuedurochesterudelnewsinterconcompsinntpccirdi rdicciccicom rick inzero subject drafting machine sale messageid aprcciccicom organization computer console inc rochester ny distribution usa date thu apr gmt line sale precision drafting machine bruning ogp solid older model springloaded counter balance clamp table without scale right handed person make offer includes upsparcel post postage im guessing period well known excellent drafting machine construction built real metal part cheap modern plastic painted typical office grey popular period smooth working two arm measure roughly dual clamp enable clamp edge corner table rick inzero rochesterccirdi northern telecom ltd uunetccicpgccirdi rochester ny rdiccicom,0
path cantaloupesrvcscmuedudasnewsharvardeduogicsenetworkucsdeduswrindeelroyjplnasagovnntpservercaltechedusunshine sunshineccocaltechedu tom renner newsgroups miscforsale subject apple iigs messageid qkmlinnrcgapcaltechedu date apr gmt articleid gapqkmlinnrc distribution usa organization california institute technology pasadena line nntppostinghost punishercaltechedu basic apple iigs system need sell everything come original box documentation excellent condition make offer ill consider anything apple iigs meg drive applecolor rgb monitor keyboardmousemousepaddustcovers baud applemodemrandom worthless stuff here list gamesapps game application battlechess system disk defender crown system tool iigs arkanoid ii wordperfect bubble ghost appleworks shadowgate writer choice elite balance power draw plus marble madness copy ii plus zany golf proterm communication software chessmaster interested contact sunshineccocaltechedu,3
path cantaloupesrvcscmuedudasnewsharvardeduogicseuwmeduuxcsouiuceduuchinewsiitmaxthssjxy thssjxyiitmaxiitedu smile newsgroups miscforsale subject forsale used guitar amp messageid apriitmaxiitedu date apr gmt articleid iitmaxapr distribution usa organization illinois institute technology line two year old crate guitar amplifier model gxl handle upto watt dual input two channel reverb three band eq distortion asking send mail thssjxyiitmaxacciitedu interested price maybe negotiable,9
path cantaloupesrvcscmuedurochesterudelgatechhowlandrestonansnetzaphodmpsohiostateedumoeksuksueduuafhpcbray cbrayuafhpuarkedu chris bray newsgroups miscforsale subject cassette sale update date apr gmt organization kansa state university line messageid qkdimhubmoeksuksuedu nntppostinghost uafhpuarkedu summary tape sale keywords tape sale sell hi still tape left postage paid multiple order appreciated necessary package deal welcome thanks chris bray lewis hueysports hootersnervous night poisonlook cat dragged hall oatesbig bam boom rattout cellar quiet riotcondition critical seger boblike rock outfieldplay deep plant robertshaken n stirred journeyraised radio duran duranduran duran duran duranarena duran duranrio,9
newsgroups miscforsale path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomnewsansnetrpiusenetcoemontanaedudecwrlnetcomsvnetcomcombigjoe bigjoenetcomcom g perry subject elvis autograph friend requested post following messageid bigjoecnhgsnetcomcom organization netcom online communication service guest distribution world date sat apr gmt line sale elvis prestly autograph autogaph one two othere elvis friend red west obtained seller spring jacksonville fla afternoon following incident elvis collapsed concert gaterbowl jacksonville request offer ellen san jose ca,3
path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmuedufsececmuedueuropaenggtefsdcomgatechasuvaxcsutexaseduswrindezaphodmpsohiostateedumagnusacsohiostateeduusenetinscwrueduclevelandfreenetedudf dfclevelandfreenetedu david tsao newsgroups miscforsale subject dx mram kcache mhd date apr gmt organization case western reserve university cleveland ohio usa line messageid qpheoouusenetinscwruedu nntppostinghost helainscwruedu vesa local bus motherboard mb ram k cache floppy mb hard drive ide controller hdfd spg local bus mb svga video card svga monitor dpi mini tower key keyboard david tsao cstsaosamcsolemissedu benjamin chen,1
